x,y,cv1,cv2,cv3
5.230740167,7.141487747,1.825429898,-1.085630603,-0.255619371
6.013931187,6.197815441,3.154003257,0.997345447,-2.798589105
6.613585258,7.160614515,3.634477367,0.282978498,-1.771533105
4.559917949,6.444575363,3.067836613,-1.506294714,-0.699877235
2.408399942,4.760462694,1.668075809,-0.578600252,0.927462432
5.876399743,6.265443206,0.242259137,1.651436537,-0.173635683
3.605007008,5.033938366,1.001603051,-2.426679243,0.002845916
3.191945457,3.902436875,1.701843543,-0.428912629,0.688222711
5.408220902,6.312127817,3.142349799,1.265936259,-0.879536343
4.73010256,7.459479769,3.073304202,-0.866740402,0.283627324
2.813076752,5.844059434,4.588061975,-0.678886152,-0.805366518
4.659566886,7.015609145,1.706643268,-0.094708969,-1.727669494
3.664422736,6.682680391,1.563156544,1.491389626,-0.390899794
2.731090022,6.226334854,2.682536028,-0.638901997,0.573805862
4.602603881,6.392682282,1.737793373,-0.44398196,0.338589051
4.640224653,6.814922398,0.062573597,-0.434351276,-0.011830494
2.902473081,6.744769567,-0.195902494,2.205930083,2.392365266
4.764545528,7.905084547,1.341317762,2.186786089,0.41291216
4.620751475,6.016126674,1.025210916,1.004053898,0.978736006
3.339782777,4.751747141,-0.367103949,0.386186399,2.238143338
4.948988822,6.796513308,1.794446613,0.737368576,-1.294085323
5.776111074,7.267550673,1.571912399,1.490732028,-1.03878821
3.303580792,6.411334636,2.306353356,-0.935833868,1.743712225
3.485988245,6.414419724,1.613321144,1.175829045,-0.798062735
1.739233358,5.591989184,2.436763718,-1.253880668,0.02968323
2.992316792,5.070010656,1.712489147,-0.637751502,1.069315969
5.069343976,5.423928861,3.615947437,0.907105196,0.890706391
5.283887756,6.866102116,0.997547404,-1.4286807,1.754886182
3.697089365,6.129921613,3.138867325,-0.14006872,1.495644137
5.466289058,7.747688627,1.053789088,-0.861754896,1.06939267
