Subject,Time,Metric,Performance
1,Pre,Product,13
2,Pre,Product,12
3,Pre,Product,17
4,Pre,Product,12
5,Pre,Product,19
6,Pre,Product,6
7,Pre,Product,17
8,Pre,Product,18
9,Pre,Product,23
10,Pre,Product,18
1,Pre,Client,12
2,Pre,Client,19
3,Pre,Client,19
4,Pre,Client,25
5,Pre,Client,27
6,Pre,Client,12
7,Pre,Client,18
8,Pre,Client,29
9,Pre,Client,30
10,Pre,Client,12
1,Pre,Action,17
2,Pre,Action,18
3,Pre,Action,24
4,Pre,Action,25
5,Pre,Action,19
6,Pre,Action,6
7,Pre,Action,30
8,Pre,Action,36
9,Pre,Action,24
10,Pre,Action,24
1,Post,Product,18
2,Post,Product,6
3,Post,Product,21
4,Post,Product,18
5,Post,Product,18
6,Post,Product,6
7,Post,Product,24
8,Post,Product,22
9,Post,Product,18
10,Post,Product,24
1,Post,Client,30
2,Post,Client,18
3,Post,Client,31
4,Post,Client,39
5,Post,Client,28
6,Post,Client,18
7,Post,Client,36
8,Post,Client,36
9,Post,Client,38
10,Post,Client,25
1,Post,Action,34
2,Post,Action,30
3,Post,Action,32
4,Post,Action,40
5,Post,Action,27
6,Post,Action,23
7,Post,Action,38
8,Post,Action,40
9,Post,Action,32
10,Post,Action,34
